carat,depth,table,x,y,z,cut,color,clarity,price
0.23,61.5,55,3.95,3.98,2.43,Ideal,E,SI2,326
0.21,59.8,61,3.89,3.84,2.31,Premium,E,SI1,326
0.23,56.9,65,4.05,4.07,2.31,Good,E,VS1,327
0.29,62.4,58,4.2,4.23,2.63,Very Good,I,VS2,334
0.31,63.3,58,4.34,4.35,2.75,Premium,J,SI2,335
0.24,62.8,57,3.94,3.96,2.48,Ideal,H,SI1,336
0.24,62.3,57,3.96,3.98,2.47,Ideal,H,VVS2,337
0.26,61.9,55,4.07,4.11,2.53,Good,F,SI2,337
0.22,65.1,61,3.87,3.78,2.49,Premium,E,VS2,338
0.23,59.4,61,4.0,4.05,2.36,Very Good,G,VS1,339
